,Country_Code,AISelect
0,USA,Yes
1,GBR,"No, and I don't plan to"
2,GBR,"No, and I don't plan to"
3,CAN,Yes
4,NOR,"No, and I don't plan to"
5,USA,Yes
6,USA,"No, and I don't plan to"
7,UZB,Yes
8,GBR,"No, and I don't plan to"
9,SRB,Yes
10,USA,Yes
11,POL,"No, and I don't plan to"
12,USA,"No, and I don't plan to"
13,PHL,Yes
14,BGR,"No, and I don't plan to"
15,CHE,"No, and I don't plan to"
16,CAN,Yes
17,IND,"No, but I plan to soon"
18,DEU,Yes
19,GBR,"No, and I don't plan to"
20,DEU,Yes
21,DEU,Yes
22,IRL,Yes
23,USA,"No, and I don't plan to"
24,ITA,"No, and I don't plan to"
25,USA,"No, but I plan to soon"
26,ITA,Yes
27,UKR,Yes
28,GBR,"No, but I plan to soon"
29,PHL,Yes
30,AUS,Yes
31,USA,"No, but I plan to soon"
32,BRA,Yes
33,JPN,"No, but I plan to soon"
34,USA,Yes
35,USA,"No, and I don't plan to"
36,AUT,"No, and I don't plan to"
37,,Yes
38,FRA,"No, and I don't plan to"
39,SAU,Yes
40,BRA,Yes
41,ITA,Yes
42,IRL,Yes
43,AUT,"No, and I don't plan to"
44,ROU,Yes
45,GBR,Yes
46,USA,Yes
47,USA,"No, and I don't plan to"
48,DEU,"No, and I don't plan to"
49,DEU,Yes
50,GBR,Yes
51,USA,Yes
52,DEU,Yes
53,BGR,"No, and I don't plan to"
54,GBR,"No, and I don't plan to"
55,DEU,"No, and I don't plan to"
56,ITA,"No, and I don't plan to"
57,,"No, but I plan to soon"
58,IND,Yes
59,IRL,"No, but I plan to soon"
60,NPL,Yes
61,CHE,"No, but I plan to soon"
62,DZA,Yes
63,BGR,"No, and I don't plan to"
64,SWE,"No, but I plan to soon"
65,,"No, and I don't plan to"
66,CHE,Yes
67,GBR,Yes
68,NLD,Yes
69,HRV,Yes
70,AUS,"No, and I don't plan to"
71,SWE,"No, but I plan to soon"
72,PAK,Yes
73,CZE,"No, and I don't plan to"
74,CHE,"No, and I don't plan to"
75,IND,"No, but I plan to soon"
76,USA,"No, and I don't plan to"
77,MKD,Yes
78,USA,"No, but I plan to soon"
79,USA,Yes
80,DEU,"No, and I don't plan to"
81,FIN,Yes
82,SVK,"No, but I plan to soon"
83,POL,"No, and I don't plan to"
84,USA,"No, and I don't plan to"
85,USA,"No, and I don't plan to"
86,GBR,Yes
87,DEU,"No, and I don't plan to"
88,GBR,"No, and I don't plan to"
89,IND,"No, but I plan to soon"
90,RUS,"No, and I don't plan to"
91,POL,Yes
92,USA,Yes
93,IRL,"No, but I plan to soon"
94,,Yes
95,GRC,Yes
96,IND,Yes
97,USA,"No, but I plan to soon"
98,ITA,Yes
99,ISR,"No, and I don't plan to"
100,GBR,Yes
101,POL,Yes
102,ITA,Yes
103,FRA,Yes
104,DEU,Yes
105,IND,Yes
106,ITA,"No, and I don't plan to"
107,USA,Yes
108,BEL,"No, and I don't plan to"
109,AUS,Yes
110,GRC,Yes
111,GBR,Yes
112,IRL,Yes
113,USA,"No, and I don't plan to"
114,,"No, and I don't plan to"
115,USA,Yes
116,DEU,"No, and I don't plan to"
117,AUT,Yes
118,SWE,Yes
119,MEX,"No, and I don't plan to"
120,TZA,Yes
121,IRL,Yes
122,USA,"No, and I don't plan to"
123,DEU,"No, and I don't plan to"
124,JPN,Yes
125,AUT,Yes
126,IND,Yes
127,USA,Yes
128,USA,Yes
129,SWE,Yes
130,UKR,"No, and I don't plan to"
131,DEU,Yes
132,UKR,Yes
133,GBR,"No, and I don't plan to"
134,GBR,"No, but I plan to soon"
135,HUN,Yes
136,USA,"No, and I don't plan to"
137,ARG,"No, and I don't plan to"
138,SWE,"No, and I don't plan to"
139,PAK,"No, and I don't plan to"
140,IND,"No, but I plan to soon"
141,ITA,Yes
142,IND,Yes
143,AUS,"No, and I don't plan to"
144,USA,"No, and I don't plan to"
145,USA,Yes
146,GBR,"No, and I don't plan to"
147,USA,"No, but I plan to soon"
148,USA,"No, but I plan to soon"
149,HRV,Yes
150,,"No, and I don't plan to"
151,FIN,"No, but I plan to soon"
152,USA,Yes
153,GBR,Yes
154,GBR,Yes
155,PRT,Yes
156,NLD,Yes
157,USA,Yes
158,LKA,Yes
159,USA,Yes
160,NLD,"No, and I don't plan to"
161,LVA,Yes
162,LKA,Yes
163,PRT,"No, but I plan to soon"
164,IND,Yes
165,USA,Yes
166,GBR,Yes
167,CHN,Yes
168,SGP,Yes
169,CHN,"No, and I don't plan to"
170,LBN,Yes
171,USA,"No, but I plan to soon"
172,ROU,Yes
173,PHL,Yes
174,GBR,"No, and I don't plan to"
175,USA,Yes
176,USA,"No, and I don't plan to"
177,ESP,Yes
178,DEU,Yes
179,GBR,"No, but I plan to soon"
180,PRT,Yes
181,POL,"No, and I don't plan to"
182,USA,Yes
183,CAN,"No, and I don't plan to"
184,HUN,Yes
185,FRA,"No, and I don't plan to"
186,RUS,Yes
187,USA,Yes
188,CAN,"No, but I plan to soon"
189,CZE,"No, and I don't plan to"
190,CAN,"No, but I plan to soon"
191,BGR,Yes
192,BGR,"No, and I don't plan to"
193,PRT,Yes
194,GBR,"No, and I don't plan to"
195,IND,"No, but I plan to soon"
196,DEU,Yes
197,PRT,"No, and I don't plan to"
198,CHE,Yes
199,IND,"No, and I don't plan to"
200,ZAF,Yes
201,USA,Yes
202,DEU,Yes
203,USA,"No, and I don't plan to"
204,USA,Yes
205,DEU,"No, and I don't plan to"
206,LTU,"No, but I plan to soon"
207,FRA,Yes
208,NLD,"No, and I don't plan to"
209,USA,Yes
210,FRA,"No, but I plan to soon"
211,GBR,"No, and I don't plan to"
212,VNM,Yes
213,IRL,Yes
214,DOM,"No, but I plan to soon"
215,USA,Yes
216,IDN,Yes
217,BRA,Yes
218,FRA,Yes
219,IND,Yes
220,DEU,"No, and I don't plan to"
221,VNM,"No, but I plan to soon"
222,FRA,Yes
223,GBR,Yes
224,GBR,"No, and I don't plan to"
225,DEU,"No, and I don't plan to"
226,DEU,"No, and I don't plan to"
227,USA,Yes
228,IRL,Yes
229,USA,"No, and I don't plan to"
230,SRB,"No, but I plan to soon"
231,IND,Yes
232,UKR,"No, and I don't plan to"
233,BGR,"No, and I don't plan to"
234,IND,"No, but I plan to soon"
235,HRV,"No, and I don't plan to"
236,ROU,Yes
237,POL,"No, and I don't plan to"
238,SRB,Yes
239,AUS,"No, but I plan to soon"
240,ROU,"No, and I don't plan to"
241,USA,"No, and I don't plan to"
242,MAR,Yes
243,IND,Yes
244,FRA,Yes
245,DEU,"No, and I don't plan to"
246,NLD,Yes
247,GRC,"No, and I don't plan to"
248,USA,Yes
249,TWN,"No, and I don't plan to"
250,USA,"No, but I plan to soon"
251,USA,"No, and I don't plan to"
252,SWE,"No, and I don't plan to"
253,CHE,Yes
254,FRA,"No, and I don't plan to"
255,BRA,"No, and I don't plan to"
256,FRA,"No, but I plan to soon"
257,GEO,"No, and I don't plan to"
258,BRA,Yes
259,NLD,"No, and I don't plan to"
260,FRA,"No, and I don't plan to"
261,SWE,Yes
262,AUT,Yes
263,USA,"No, and I don't plan to"
264,USA,"No, and I don't plan to"
265,USA,"No, and I don't plan to"
266,AUT,Yes
267,,"No, and I don't plan to"
268,USA,"No, and I don't plan to"
