index,MuchMoreIntegrated,MoreIntegrated,NoChange,LessIntegrated,MuchLessIntegrated
Learning about a codebase,2619,5161,1988,429,371
Project planning,975,1837,934,198,182
Writing code,6868,14802,5434,932,607
Documenting code,4567,6680,2077,298,291
Debugging and getting help,5273,9942,3580,517,359
Testing code,2865,4615,1418,238,230
Committing and reviewing code,1271,1995,859,171,179
Deployment and monitoring,399,559,310,99,99
Predictive analytics,523,705,353,77,92
Search for answers,7397,10805,4237,493,434
Generating content or synthetic data,4064,4907,2538,270,268
