,index,Currently Using,Interested in Using,Not interested in Using
0,Learning about a codebase,11105,14599,6742
1,Project planning,4381,11407,15225
2,Writing code,29486,3296,2106
3,Documenting code,14439,13754,4570
4,Debugging and getting help,20404,9333,3268
5,Testing code,9787,16605,6147
6,Committing and reviewing code,4756,14701,11838
7,Deployment and monitoring,1603,14262,14618
8,Predictive analytics,1888,14306,13917
9,Search for answers,24295,6338,2910
10,Generating content or synthetic data,12538,11925,6732
